,eidx,aidx,type,is_flipped,num_supports,num_sufficient
292,28,86,leaf,False,0,0
293,28,88,leaf,False,0,0
294,28,99,non-leaf,False,1,0
295,29,0,default,False,0,0
296,29,72,leaf,False,0,0
297,30,0,default,False,1,0
298,30,16,leaf,False,0,0
299,30,38,non-leaf,True,1,1
300,30,75,leaf,False,0,0
301,30,86,leaf,False,0,0
302,30,98,non-leaf,True,1,1
303,31,0,default,False,3,0
304,31,1,leaf,False,0,0
305,31,4,non-leaf,False,1,0
306,31,8,non-leaf,True,1,1
307,31,10,leaf,False,0,0
308,31,11,non-leaf,True,1,1
309,31,17,non-leaf,False,0,0
310,31,19,non-leaf,False,2,0
311,31,21,non-leaf,False,1,1
312,31,22,non-leaf,False,0,0
313,31,43,leaf,False,0,0
314,31,51,non-leaf,False,1,0
315,31,52,non-leaf,False,1,1
316,31,55,non-leaf,False,0,0
317,31,62,non-leaf,False,1,0
318,31,72,leaf,False,0,0
319,31,75,leaf,False,0,0
320,31,86,leaf,False,0,0
321,31,88,leaf,False,0,0
322,31,96,non-leaf,False,1,0
323,31,98,non-leaf,False,0,0
324,31,99,non-leaf,False,1,0
325,32,0,default,False,1,0
326,32,10,leaf,False,0,0
327,32,32,non-leaf,False,0,0
328,32,69,non-leaf,True,2,1
329,32,72,leaf,False,0,0
330,32,75,leaf,False,0,0
331,32,99,non-leaf,False,1,0
332,33,0,default,False,1,0
333,33,10,leaf,False,0,0
334,33,62,non-leaf,False,1,0
335,33,72,leaf,False,0,0
336,33,88,leaf,False,0,0
337,34,0,default,False,0,0
338,35,0,default,False,0,0
339,35,75,leaf,False,0,0
340,36,0,default,False,0,0
341,37,0,default,False,1,0
342,37,42,non-leaf,False,0,0
343,37,43,leaf,False,0,0
344,37,78,non-leaf,False,0,0
345,37,86,leaf,False,0,0
346,37,88,leaf,False,0,0
347,38,0,default,False,0,0
348,39,0,default,False,4,0
349,39,1,leaf,False,0,0
350,39,3,non-leaf,False,1,0
351,39,6,non-leaf,False,2,0
352,39,10,leaf,False,0,0
353,39,14,non-leaf,False,1,0
354,39,17,non-leaf,False,0,0
355,39,18,non-leaf,False,1,0
356,39,27,non-leaf,True,1,1
357,39,32,non-leaf,False,0,0
358,39,36,non-leaf,True,1,1
359,39,40,non-leaf,False,2,0
360,39,42,non-leaf,False,0,0
361,39,44,non-leaf,True,1,1
362,39,55,non-leaf,True,1,1
363,39,62,non-leaf,False,1,0
364,39,67,non-leaf,False,1,0
365,39,72,leaf,False,0,0
366,39,75,leaf,False,0,0
367,39,76,leaf,False,0,0
368,39,86,leaf,False,0,0
369,39,88,leaf,False,0,0
370,39,89,non-leaf,False,2,0
371,39,90,leaf,False,0,0
372,39,98,non-leaf,True,1,1
373,39,99,non-leaf,False,1,0
374,40,0,default,False,0,0
375,40,1,leaf,False,0,0
376,40,6,non-leaf,False,2,0
377,40,11,non-leaf,True,1,1
378,40,72,leaf,False,0,0
379,40,74,non-leaf,True,2,1
380,40,75,leaf,False,0,0
381,41,0,default,False,2,0
382,41,4,non-leaf,False,1,0
383,41,8,non-leaf,True,1,1
384,41,10,leaf,False,0,0
385,41,13,non-leaf,False,1,0
386,41,18,non-leaf,False,1,0
387,41,46,non-leaf,False,0,0
388,41,63,non-leaf,False,1,0
389,41,69,non-leaf,True,2,2
390,41,72,leaf,False,0,0
391,41,75,leaf,False,0,0
392,41,76,leaf,False,0,0
393,41,99,non-leaf,False,1,0
394,42,0,default,False,1,0
395,42,86,leaf,False,0,0
396,43,0,default,False,1,0
